GENESIS-Tabelle: Darmstadt
Einpendelverflechtungen nach Geschlecht - Jahr - regionale;;;;;;
Tiefe: Gemeinden bzw. Gemeindeverbände;;;;;;
Pendlerrechnung der Länder;;;;;;
Stichtag: 30.06.2022;;;;;;
Arbeitsort: Darmstadt, Wissenschaftsstadt;;;;;;
;;Einpendelnde von ...;Einpendelnde von ...;Einpendelnde von ...;Anteil an allen Einpendelnden in den Arbeitsort;Luftlinienentfernung
;;Insgesamt;männlich;weiblich;;
;;Anzahl;Anzahl;Anzahl;Prozent;km
031545402012;Jerxheim;-;-;-;-;-
031545402027;Söllingen;-;-;-;-;-
031545403005;Frellstedt;-;-;-;-;-
031545403017;Räbke;-;-;-;-;-
031545403021;Süpplingen;-;-;-;-;-
031545403022;Süpplingenburg;-;-;-;-;-
031545403025;Warberg;-;-;-;-;-
031545403026;Wolsdorf;-;-;-;-;-
031545404001;Bahrdorf;-;-;-;-;-
031545404004;Danndorf;-;-;-;-;-
031545404007;Grafhorst;-;-;-;-;-
031545404009;Groß Twülpstedt;-;-;-;-;-
031545404024;Velpke;-;-;-;-;-
031550001001;Bad Gandersheim, Stadt;-;-;-;-;-
031550002002;Bodenfelde, Flecken;-;-;-;-;-
031550003003;Dassel, Stadt;-;-;-;-;-
031550005005;Hardegsen, Stadt;-;-;-;-;-
031550006006;Kalefeld;-;-;-;-;-
031550007007;Katlenburg-Lindau;-;-;-;-;-
031550009009;Moringen, Stadt;-;-;-;-;-
031550010010;Nörten-Hardenberg, Flecken;-;-;-;-;-
031550011011;Northeim, Stadt;-;-;-;-;-
031550012012;Uslar, Stadt;-;-;-;-;-
031550013013;Einbeck, Stadt;-;-;-;-;-
031570001001;Edemissen;-;-;-;-;-
031570002002;Hohenhameln;-;-;-;-;-
031570005005;Lengede;-;-;-;-;-
031570006006;Peine, Stadt;-;-;-;-;-
031570007007;Vechelde;-;-;-;-;-
031570008008;Wendeburg;-;-;-;-;-
031570009009;Ilsede;-;-;-;-;-
031580006006;Cremlingen;-;-;-;-;-
031580037037;Wolfenbüttel, Stadt;-;-;-;-;-
031580039039;Schladen-Werla;-;-;-;-;-
031585402002;Baddeckenstedt;-;-;-;-;-
031585402004;Burgdorf;-;-;-;-;-
031585402011;Elbe;-;-;-;-;-
031585402016;Haverlah;-;-;-;-;-
031585402018;Heere;-;-;-;-;-
031585402028;Sehlde;-;-;-;-;-
031585403005;Cramme;-;-;-;-;-
031585403010;Dorstadt;-;-;-;-;-
031585403014;Flöthe;-;-;-;-;-
031585403019;Heiningen;-;-;-;-;-
031585403023;Ohrum;-;-;-;-;-
031585403038;Börßum;-;-;-;-;-
031585406009;Dettum;-;-;-;-;-
031585406012;Erkerode;-;-;-;-;-
031585406013;Evessen;-;-;-;-;-
031585406030;Sickte;-;-;-;-;-
031585406033;Veltheim (Ohe);-;-;-;-;-
031585407007;Dahlum;-;-;-;-;-
031585407008;Denkte;-;-;-;-;-
031585407017;Hedeper;-;-;-;-;-
031585407021;Kissenbrück;-;-;-;-;-
031585407022;Kneitlingen;-;-;-;-;-
031585407025;Roklum;-;-;-;-;-
031585407027;Schöppenstedt, Stadt;-;-;-;-;-
031585407031;Uehrde;-;-;-;-;-
031585407032;Vahlberg;-;-;-;-;-
031585407035;Winnigstedt;-;-;-;-;-
031585407036;Wittmar;-;-;-;-;-
031585407040;Remlingen-Semmenstedt;-;-;-;-;-
031590001001;Adelebsen, Flecken;-;-;-;-;-
031590002002;Bad Grund (Harz);-;-;-;-;-
031590003003;Bad Lauterberg im Harz, Stadt;-;-;-;-;-
031590004004;Bad Sachsa, Stadt;-;-;-;-;-
031590007007;Bovenden, Flecken;-;-;-;-;-
031590010010;Duderstadt, Stadt;-;-;-;-;-
031590013013;Friedland;-;-;-;-;-
031590015015;Gleichen;-;-;-;-;-
031590016016;Göttingen, Stadt;32;16;16;0,0;205,3
031590017017;Hann. Münden, Stadt;-;-;-;-;-
031590019019;Herzberg am Harz, Stadt;-;-;-;-;-
031590026026;Osterode am Harz, Stadt;-;-;-;-;-
031590029029;Rosdorf;-;-;-;-;-
031590034034;Staufenberg;-;-;-;-;-
031590036036;Walkenried;-;-;-;-;-
031595401008;Bühren;-;-;-;-;-
031595401009;Dransfeld, Stadt;-;-;-;-;-
031595401021;Jühnde;-;-;-;-;-
031595401024;Niemetal;-;-;-;-;-
031595401031;Scheden;-;-;-;-;-
031595402005;Bilshausen;-;-;-;-;-
031595402006;Bodensee;-;-;-;-;-
031595402014;Gieboldehausen, Flecken;-;-;-;-;-
031595402022;Krebeck;-;-;-;-;-
031595402025;Obernfeld;-;-;-;-;-
031595402027;Rhumspringe;-;-;-;-;-
031595402028;Rollshausen;-;-;-;-;-
031595402030;Rüdershausen;-;-;-;-;-
031595402037;Wollbrandshausen;-;-;-;-;-
031595402038;Wollershausen;-;-;-;-;-
031595403012;Elbingerode;-;-;-;-;-
031595403018;Hattorf am Harz;-;-;-;-;-
031595403020;Hörden am Harz;-;-;-;-;-
031595403039;Wulften am Harz;-;-;-;-;-
031595404011;Ebergötzen;-;-;-;-;-
031595404023;Landolfshausen;-;-;-;-;-
031595404032;Seeburg;-;-;-;-;-
031595404033;Seulingen;-;-;-;-;-
031595404035;Waake;-;-;-;-;-
032410001001;Hannover, Landeshauptstadt;84;63;21;0,1;288,3
032410002002;Barsinghausen, Stadt;-;-;-;-;-
032410003003;Burgdorf, Stadt;-;-;-;-;-
032410004004;Burgwedel, Stadt;-;-;-;-;-
032410005005;Garbsen, Stadt;-;-;-;-;-
032410006006;Gehrden, Stadt;-;-;-;-;-
032410007007;Hemmingen, Stadt;-;-;-;-;-
032410008008;Isernhagen;-;-;-;-;-
032410009009;Laatzen, Stadt;-;-;-;-;-
032410010010;Langenhagen, Stadt;-;-;-;-;-
032410011011;Lehrte, Stadt;-;-;-;-;-
032410012012;Neustadt am Rübenberge, Stadt;-;-;-;-;-
032410013013;Pattensen, Stadt;-;-;-;-;-
032410014014;Ronnenberg, Stadt;-;-;-;-;-
032410015015;Seelze, Stadt;-;-;-;-;-
032410016016;Sehnde, Stadt;-;-;-;-;-
032410017017;Springe, Stadt;-;-;-;-;-
032410018018;Uetze;-;-;-;-;-
032410019019;Wedemark;-;-;-;-;-
032410020020;Wennigsen (Deister);-;-;-;-;-
032410021021;Wunstorf, Stadt;-;-;-;-;-
032510007007;Bassum, Stadt;-;-;-;-;-
032510012012;Diepholz, Stadt;-;-;-;-;-
032510037037;Stuhr;-;-;-;-;-
032510040040;Sulingen, Stadt;-;-;-;-;-
032510041041;Syke, Stadt;-;-;-;-;-
032510042042;Twistringen, Stadt;-;-;-;-;-
032510044044;Wagenfeld;-;-;-;-;-
032510047047;Weyhe;-;-;-;-;-
032515401009;Brockum;-;-;-;-;-
032515401020;Hüde;-;-;-;-;-
032515401022;Lembruch;-;-;-;-;-
032515401023;Lemförde, Flecken;-;-;-;-;-
032515401025;Marl;-;-;-;-;-
032515401029;Quernheim;-;-;-;-;-
032515401036;Stemshorn;-;-;-;-;-
032515402005;Barnstorf, Flecken;-;-;-;-;-
032515402013;Drebber;-;-;-;-;-
032515402014;Drentwede;-;-;-;-;-
032515402017;Eydelstedt;-;-;-;-;-
032515403002;Asendorf;-;-;-;-;-
032515403026;Martfeld;-;-;-;-;-
032515403033;Schwarme;-;-;-;-;-
032515403049;Bruchhausen-Vilsen, Flecken;-;-;-;-;-
032515404003;Bahrenborstel;-;-;-;-;-
032515404004;Barenburg, Flecken;-;-;-;-;-
032515404018;Freistatt;-;-;-;-;-
032515404021;Kirchdorf;-;-;-;-;-
032515404043;Varrel;-;-;-;-;-
032515404045;Wehrbleck;-;-;-;-;-
032515405006;Barver;-;-;-;-;-
032515405011;Dickel;-;-;-;-;-
032515405019;Hemsloh;-;-;-;-;-
032515405030;Rehden;-;-;-;-;-
032515405046;Wetschen;-;-;-;-;-
032515406001;Affinghausen;-;-;-;-;-
032515406015;Ehrenburg;-;-;-;-;-
032515406028;Neuenkirchen;-;-;-;-;-
032515406031;Scholen;-;-;-;-;-
032515406032;Schwaförden;-;-;-;-;-
032515406038;Sudwalde;-;-;-;-;-
032515407008;Borstel;-;-;-;-;-
032515407024;Maasen;-;-;-;-;-
032515407027;Mellinghausen;-;-;-;-;-
032515407034;Siedenburg, Flecken;-;-;-;-;-
032515407035;Staffhorst;-;-;-;-;-
032520001001;Aerzen, Flecken;-;-;-;-;-
032520002002;Bad Münder am Deister, Stadt;-;-;-;-;-
032520003003;Bad Pyrmont, Stadt;-;-;-;-;-
032520004004;Coppenbrügge, Flecken;-;-;-;-;-
032520005005;Emmerthal;-;-;-;-;-
032520006006;Hameln, Stadt;-;-;-;-;-
032520007007;Hessisch Oldendorf, Stadt;-;-;-;-;-
032520008008;Salzhemmendorf, Flecken;-;-;-;-;-
032540002002;Alfeld (Leine), Stadt;-;-;-;-;-
032540003003;Algermissen;-;-;-;-;-
032540005005;Bad Salzdetfurth, Stadt;-;-;-;-;-
032540008008;Bockenem, Stadt;-;-;-;-;-
032540011011;Diekholzen;-;-;-;-;-
032540014014;Elze, Stadt;-;-;-;-;-
032540017017;Giesen;-;-;-;-;-
032540020020;Harsum;-;-;-;-;-
032540021021;Hildesheim, Stadt;13;7;6;0,0;267,2
032540022022;Holle;-;-;-;-;-
032540026026;Nordstemmen;-;-;-;-;-
032540028028;Sarstedt, Stadt;-;-;-;-;-
032540029029;Schellerten;-;-;-;-;-
032540032032;Söhlde;-;-;-;-;-
032540042042;Freden (Leine);-;-;-;-;-
032540044044;Lamspringe;-;-;-;-;-
032540045045;Sibbesse;-;-;-;-;-
032545406013;Eime, Flecken;-;-;-;-;-
032545406041;Duingen, Flecken;-;-;-;-;-
032545406043;Gronau (Leine), Stadt;-;-;-;-;-
032550008008;Delligsen, Flecken;-;-;-;-;-
032550023023;Holzminden, Stadt;-;-;-;-;-
032555401002;Bevern, Flecken;-;-;-;-;-
032555401015;Golmbach;-;-;-;-;-
032555401021;Holenberg;-;-;-;-;-
032555401030;Negenborn;-;-;-;-;-
032555403004;Boffzen;-;-;-;-;-
032555403009;Derental;-;-;-;-;-
032555403014;Fürstenberg;-;-;-;-;-
032555403026;Lauenförde, Flecken;-;-;-;-;-
032555408003;Bodenwerder, Münchhausenstadt;-;-;-;-;-
032555408005;Brevörde;-;-;-;-;-
032555408016;Halle;-;-;-;-;-
032555408017;Hehlen;-;-;-;-;-
032555408019;Heinsen;-;-;-;-;-
032555408020;Heyen;-;-;-;-;-
032555408025;Kirchbrak;-;-;-;-;-
032555408031;Ottenstein, Flecken;-;-;-;-;-
032555408032;Pegestorf;-;-;-;-;-
032555408033;Polle, Flecken;-;-;-;-;-
032555408035;Vahlbruch;-;-;-;-;-
032555409001;Arholzen;-;-;-;-;-
032555409007;Deensen;-;-;-;-;-
032555409010;Dielmissen;-;-;-;-;-
032555409012;Eimen;-;-;-;-;-
032555409013;Eschershausen, Stadt;-;-;-;-;-
032555409018;Heinade;-;-;-;-;-
032555409022;Holzen;-;-;-;-;-
032555409027;Lenne;-;-;-;-;-
032555409028;Lüerdissen;-;-;-;-;-
032555409034;Stadtoldendorf, Stadt;-;-;-;-;-
032555409036;Wangelnstedt;-;-;-;-;-
032560022022;Nienburg (Weser), Stadt;-;-;-;-;-
032560025025;Rehburg-Loccum, Stadt;-;-;-;-;-
032560030030;Steyerberg, Flecken;-;-;-;-;-
032565402005;Drakenburg, Flecken;-;-;-;-;-
032565402011;Haßbergen;-;-;-;-;-
032565402012;Heemsen;-;-;-;-;-
032565402027;Rohrsen;-;-;-;-;-
032565405002;Binnen;-;-;-;-;-
032565405019;Liebenau, Flecken;-;-;-;-;-
032565405023;Pennigsehl;-;-;-;-;-
032565406001;Balge;-;-;-;-;-
032565406021;Marklohe;-;-;-;-;-
032565406036;Wietzen;-;-;-;-;-
032565407020;Linsburg;-;-;-;-;-
032565407026;Rodewald;-;-;-;-;-
032565407029;Steimbke;-;-;-;-;-
032565407031;Stöckse;-;-;-;-;-
032565408004;Diepenau, Flecken;-;-;-;-;-
032565408024;Raddestorf;-;-;-;-;-
032565408033;Uchte, Flecken;-;-;-;-;-
032565408034;Warmsen;-;-;-;-;-
032565409003;Bücken, Flecken;-;-;-;-;-
032565409007;Eystrup;-;-;-;-;-
032565409008;Gandesbergen;-;-;-;-;-
032565409009;Hämelhausen;-;-;-;-;-
032565409010;Hassel (Weser);-;-;-;-;-
032565409013;Hilgermissen;-;-;-;-;-
032565409014;Hoya, Stadt;-;-;-;-;-
032565409015;Hoyerhagen;-;-;-;-;-
032565409028;Schweringen;-;-;-;-;-
032565409035;Warpe;-;-;-;-;-
032565410006;Estorf;-;-;-;-;-
032565410016;Husum;-;-;-;-;-
032565410017;Landesbergen;-;-;-;-;-
032565410018;Leese;-;-;-;-;-
032565410032;Stolzenau;-;-;-;-;-
032565411001;Balge;-;-;-;-;-
032565411002;Binnen;-;-;-;-;-
032565411019;Liebenau, Flecken;-;-;-;-;-
032565411021;Marklohe;-;-;-;-;-
032565411023;Pennigsehl;-;-;-;-;-
032565411036;Wietzen;-;-;-;-;-
032570003003;Auetal;-;-;-;-;-
032570009009;Bückeburg, Stadt;-;-;-;-;-
032570028028;Obernkirchen, Stadt;-;-;-;-;-
032570031031;Rinteln, Stadt;-;-;-;-;-
032570035035;Stadthagen, Stadt;-;-;-;-;-
032575401001;Ahnsen;-;-;-;-;-
032575401005;Bad Eilsen;-;-;-;-;-
032575401008;Buchholz;-;-;-;-;-
032575401012;Heeßen;-;-;-;-;-
032575401022;Luhden;-;-;-;-;-
032575402007;Beckedorf;-;-;-;-;-
032575402015;Heuerßen;-;-;-;-;-
032575402020;Lindhorst;-;-;-;-;-
032575402021;Lüdersfeld;-;-;-;-;-
032575403006;Bad Nenndorf, Stadt;-;-;-;-;-
032575403011;Haste;-;-;-;-;-
032575403016;Hohnhorst;-;-;-;-;-
032575403036;Suthfeld;-;-;-;-;-
032575404019;Lauenhagen;-;-;-;-;-
032575404023;Meerbeck;-;-;-;-;-
032575404025;Niedernwöhren;-;-;-;-;-
032575404027;Nordsehl;-;-;-;-;-
032575404030;Pollhagen;-;-;-;-;-
032575404037;Wiedensahl, Flecken;-;-;-;-;-
032575405013;Helpsen;-;-;-;-;-
032575405014;Hespe;-;-;-;-;-
032575405026;Nienstädt;-;-;-;-;-
032575405034;Seggebruch;-;-;-;-;-
032575406002;Apelern;-;-;-;-;-
032575406017;Hülsede;-;-;-;-;-
032575406018;Lauenau, Flecken;-;-;-;-;-
032575406024;Messenkamp;-;-;-;-;-
032575406029;Pohle;-;-;-;-;-
032575406032;Rodenberg, Stadt;-;-;-;-;-
032575407004;Auhagen;-;-;-;-;-
032575407010;Hagenburg, Flecken;-;-;-;-;-
032575407033;Sachsenhagen, Stadt;-;-;-;-;-
032575407038;Wölpinghausen;-;-;-;-;-
033510004004;Bergen, Stadt;-;-;-;-;-
033510006006;Celle, Stadt;-;-;-;-;-
033510010010;Faßberg;-;-;-;-;-
033510012012;Hambühren;-;-;-;-;-
033510023023;Wietze;-;-;-;-;-
033510024024;Winsen (Aller);-;-;-;-;-
033510025025;Eschede;-;-;-;-;-
033510026026;Südheide;-;-;-;-;-
033515402005;Bröckel;-;-;-;-;-
033515402007;Eicklingen;-;-;-;-;-
033515402017;Langlingen;-;-;-;-;-
033515402022;Wienhausen, Klostergemeinde;-;-;-;-;-
033515403002;Ahnsbeck;-;-;-;-;-
033515403003;Beedenbostel;-;-;-;-;-
033515403008;Eldingen;-;-;-;-;-
033515403015;Hohne;-;-;-;-;-
033515403016;Lachendorf;-;-;-;-;-
033515404001;Adelheidsdorf;-;-;-;-;-
033515404018;Nienhagen;-;-;-;-;-
033515404021;Wathlingen;-;-;-;-;-
033519501501;Lohheide, gemfr. Bezirk;-;-;-;-;-
